variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Problem with sleepiness,1,2,Mild,Moderate,6498,3309,11032368.0,0.02617696441641713,0.02617696441641713,0.004770042919963936,0.044445759445615025,"[0.004770042919963936, 0.044445759445615025]",0.029455021347893705,0.05891004269578741
Problem with sleepiness,2,3,Moderate,Severe,3309,2647,4323961.5,-0.012672790935597904,-0.012672790935597904,-0.04153388778506216,0.020907028181432787,"[-0.04153388778506216, 0.020907028181432787]",0.38814860289266717,0.38814860289266717
Falling asleep muscular tension,0,1,Normal,Mild,6662,6851,23391447.0,0.025010910060045972,0.025010910060045972,0.008403878262879184,0.040178134364176075,"[0.008403878262879184, 0.040178134364176075]",0.009090055881188998,0.015913683382062588
Falling asleep muscular tension,1,2,Mild,Moderate,6851,3515,12512261.0,0.03916974461266881,0.03916974461266881,0.02069367514538792,0.060457722009205066,"[0.02069367514538792, 0.060457722009205066]",0.0006763660094135881,0.0020290980282407643
Falling asleep muscular tension,2,3,Moderate,Severe,3515,2782,5071027.5,0.03715462028300198,0.03715462028300198,0.011556948090396197,0.06351112823444352,"[0.011556948090396197, 0.06351112823444352]",0.007956841691031294,0.015913683382062588
Falling asleep afraid,0,1,Normal,Mild,6683,6854,24270357.0,0.05971870231035801,0.05971870231035801,0.04289895322552539,0.07588421134488375,"[0.04289895322552539, 0.07588421134488375]",5.720713159909564e-11,1.7162139479728691e-10
Falling asleep afraid,1,2,Mild,Moderate,6854,3526,12516956.0,0.035862981915491754,0.035862981915491754,0.01434043114793089,0.05581477278050036,"[0.01434043114793089, 0.05581477278050036]",0.0008957413568421632,0.0017914827136843263
Falling asleep afraid,2,3,Moderate,Severe,3526,2784,4974211.0,0.01345077780168339,0.01345077780168339,-0.012961865591240115,0.038599885660544606,"[-0.012961865591240115, 0.038599885660544606]",0.3013865015130949,0.3013865015130949
Falling asleep paralyzed,0,1,Normal,Mild,6683,6844,23323997.5,0.019885740776710153,0.019885740776710153,0.008339737317738693,0.0313848395000338,"[0.008339737317738693, 0.0313848395000338]",0.0014829552929026455,0.004448865878707936
Falling asleep paralyzed,1,2,Mild,Moderate,6844,3520,12208346.0,0.013524288029328941,0.013524288029328941,-0.0006638207072551936,0.02532487501494341,"[-0.0006638207072551936, 0.02532487501494341]",0.06248142599145439,0.12496285198290878
